"relative_path","bytes","lines","hash_sha1","is_binary","read_error","created_utc","modified_utc"
"openspec\changes\archive\2025-10-24-refactor-unified-audit-plan\specs\analysis\spec.md","3770","72","A164AD5A5A54E6914FC1D91B5A29C075D22CC2B1","False","False","2025-10-24T17:30:41Z","2025-10-23T23:10:59Z"
"openspec\changes\archive\2025-10-24-refactor-unified-audit-plan\specs\extraction\spec.md","2320","47","44513BC4C500DA9DB44B400C7EC0E808E8BAEB9C","False","False","2025-10-24T17:30:41Z","2025-10-23T22:59:13Z"
"openspec\changes\archive\2025-10-24-refactor-unified-audit-plan\tasks.md","3673","49","786EFC5BB2047F6EE7A437975699C33239A4BE52","False","False","2025-10-24T17:30:41Z","2025-10-24T22:18:10Z"
"openspec\project.md","4642","71","06C8529773BB3FA07BC2817FDD4B42E6A04DDDD7","False","False","2025-10-24T17:30:42Z","2025-10-21T03:20:23Z"
"openspec\specs\analysis\spec.md","8828","182","EE8B9500FA276956F90B685149CDCF5EEA81BD74","False","False","2025-10-24T17:30:42Z","2025-10-24T22:06:25Z"
"openspec\specs\export\spec.md","4864","112","735116FE6B253027C89972F7D9D5E6725C3A97D9","False","False","2025-10-24T17:30:42Z","2025-10-22T06:29:15Z"
"openspec\specs\extraction\spec.md","7129","156","951E09CE2874F8BDA8A830A7DECF1938E09F1A09","False","False","2025-10-24T17:30:42Z","2025-10-24T22:06:25Z"
"openspec\specs\ui\spec.md","12233","245","97E9582D4A80D546C0F6735A9E5BB6CCFF75859F","False","False","2025-10-24T17:30:42Z","2025-10-22T16:36:02Z"
"README.md","6154","116","D4FE7E0943F1A3D827DB307CAA2E193F690438F5","False","False","2025-10-24T17:30:42Z","2025-10-24T21:32:34Z"
"tests\README.md","3191","88","280D4967810E7FBAA9072AF1C2BDB23874F7969B","False","False","2025-10-24T17:30:43Z","2025-10-14T21:21:58Z"
